"","tweet_id"
"195","1128590646233718784"
"196","1128570813932875776"
"197","1129774211470372866"
"198","1129851652414926848"
"199","1130404356925394948"
"200","1131508907225042946"
"201","1131927568301666304"
"202","1131907179680870400"
"203","1131951772879261696"
"204","1131997060113338369"
"205","1133611948573118466"
"206","1136198867416944640"
"207","1136362054778929153"
"208","1137222767093407746"
"209","1137284393674903554"
"210","1137344967972663297"
"211","1137435388891598848"
"212","1137390091373109248"
"213","1137617638283194369"
"214","1137692469691330560"
"215","1137668097643634690"
"216","1138782325632897025"
"217","1138776972451024897"
"218","1138761676726165504"
"219","1139019563809591296"
"220","1140273820453879809"
"221","1141204086253137920"
"222","1141241176533688321"
"223","1141450329327845381"
"224","1141720885277155328"
"225","1143775819631923200"
"226","1144158374377992192"
"227","1144218186075783169"
"228","1144497228326719489"
"229","1144491977758539782"
"230","1144918713835147264"
"231","1144963741706018818"
"232","1145009041980174336"
"233","1145209127825760256"
"234","1145243200711512065"
"235","1145913261365321729"
"236","1146040706290634752"
"237","1146294786342694913"
"238","1147213555017666567"
"239","1148611033927471104"
"240","1150008458151964672"
"241","1149994363549814784"
"242","1150324477802229760"
"243","1150442664183119874"
"244","1151398206376480769"
"245","1151728597545213952"
"246","1154028060452229120"
"247","1154102721382944768"
"248","1154769131025195010"
"249","1154813798659870721"
"250","1154859093334659072"
"251","1155379881435443201"
"252","1155783101001490432"
"253","1156093330238988290"
"254","1157535780283310080"
"255","1158649936583495680"
"256","1159066655194058752"
"257","1159055835428982785"
"258","1159094405183213568"
"259","1159428492645322754"
"260","1159464202970501121"
"261","1159704733289975808"
"262","1160103590142324738"
"263","1160155970754031617"
"264","1160130894809698304"
"265","1160163900777795584"
"266","1160224300575731713"
"267","1160289716492574720"
"268","1160813202432823296"
"269","1161337954608013312"
"270","1162661728833998849"
"271","1163355911747973120"
"272","1164030018063863808"
"273","1164515637131194368"
"274","1164570361427570690"
"275","1164661032826130434"
"276","1165219075989090304"
"277","1165311942963146753"
"278","1165348111591641088"
"279","1166949865475268608"
"280","1168876242780794880"
"281","1169528995475591168"
"282","1169932552594964480"
"283","1171054291429273600"
"284","1171373806344167426"
"285","1172051558118363136"
"286","1172070772417974272"
"287","1173168341042847745"
"288","1173250319385604102"
"289","1173479137606062080"
"290","1173830198694989824"
"291","1173875500743299072"
"292","1173935903271768064"
"293","1173926504721473537"
"294","1173987493609390080"
"295","1174047886633578497"
"296","1174182451763122176"
"297","1174327193696112641"
"298","1174382809072488448"
"299","1174556240694976512"
"300","1174552747338805248"
"301","1174627128559710208"
"302","1174677105919057921"
"303","1174902220539588609"
"304","1175033551244419072"
"305","1175030550463229952"
"306","1175057784179761152"
"307","1175041069374947328"
"308","1175083463055237120"
"309","1175317279640346624"
"310","1175337633645506560"
"311","1175416958281555971"
"312","1175410173516668928"
"313","1175669308334190592"
"314","1175989508841623552"
"315","1176193426292989952"
"316","1176365942034640896"
"317","1176384364462125061"
"318","1176435489752190977"
"319","1176421941927976960"
"320","1176421433339273216"
"321","1176451790822432770"
"322","1176448404119048194"
"323","1176600960774365185"
"324","1176734971983290368"
"325","1177114344334798848"
"326","1177147641844686848"
"327","1177306866285776896"
"328","1177451059305795585"
"329","1177922032341786624"
"330","1178046737824530434"
"331","1178298004064931840"
"332","1178411626434846725"
"333","1179709662758871040"
"334","1181092163763015680"
"335","1181124502912061441"
"336","1181222750876295168"
"337","1181334995039862784"
"338","1181653357989126145"
"339","1181689489401503744"
"340","1181970916584153093"
"341","1183684577065349120"
"342","1183681790600536064"
"343","1184768003516354560"
"344","1184829562154340354"
